t=2026-08-23T10:22:00+0530 lvl=info msg="no configuration paths supplied"
t=2026-08-23T10:22:00+0530 lvl=info msg="using configuration at default config path" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml"
t=2026-08-23T10:22:00+0530 lvl=info msg="open config file" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-08-23T10:22:00+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-23T10:22:00+0530 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-08-23T10:22:00+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-08-23T10:22:01+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=a835aaf85e13 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=f59ff52694c8 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=8ed6b6c40218 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=043a0b6c5f9f l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=7a7033f53d64 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=19c5191e03af l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=d33af7485da8 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=feb66988ccb8 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=8019cd4d8e69 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=d78319441630 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
